공고번호,기초금액,log_기초금액,log_기초금액_norm,기초금액_norm,A값,A값/기초금액_norm,투찰률(%),투찰률_norm,참여업체수,log_참여업체수,log_참여업체수_norm,예가범위,공고구분표시,공고제목,발주처(수요기관),지역제한
20170532302-00,425113000.0,19.8678655762535,0.9832565902942279,0.24513182698916067,0.0,-0.024791695263956078,86.745,-0.34258916408631507,923.0,6.829793737512425,-0.0789463677639082,+2% ~ -2%,기/협정,서울북부광역등기소 청사 신축 공사(통신),서울지방조달청/대법원,서울
20170531346-00,420566000.0,19.857111983443477,0.9752106341687572,0.23734975987080736,0.0,-0.024791695263956078,86.745,-0.34258916408631507,925.0,6.831953565565855,-0.07500588504676704,+2% ~ -2%,기/협정,서울서부광역등기소 신축 통신공사,서울지방조달청/대법원,서울
20170526014-00,324945500.0,19.59916803700183,0.7822141433618985,0.07369786875787554,0.0,-0.024791695263956078,87.745,0.11333942152265358,923.0,6.829793737512425,-0.0789463677639082,+2% ~ -2%,기,김포공항 주차장 지역 영상감시장치(CCTV) 설치공사,한국공항공사,서울
20170526009-00,47000000.0,17.665658180950928,-0.6644591447926588,-0.4019983125142303,0.0,-0.024791695263956078,85.0,-1.1381845459739675,959.0,6.8679744089702925,-0.009287917050834595,+2% ~ -2%,기,"(긴급) KBS 본,신관 사무실 및 창고 조성공사(통신)",한국방송공사,서울
20170516020-00,39900000.0,17.50188690692275,-0.7869946088670495,-0.4141497698576014,0.0,-0.024791695263956078,87.745,0.11333942152265358,968.0,6.877296071497429,0.007718922926481126,+2% ~ -2%,,여의도우체국 우편물류 및 지원분야 이전공사(1차) 통신,과학기술정보통신부,서울
20170500525-00,2029840000.0,21.431222809652485,2.152977624983372,2.9915785436449167,0.0,-0.024791695263956078,86.745,-0.34258916408631507,817.0,6.70808408385307,-0.30099866771078154,+2% ~ -2%,기/의무,서부경찰서 청사 신축공사(통신),서울지방조달청/경찰청,전국/서울
20170439909-00,73281000.0,18.10981193817135,-0.3321384305260984,-0.3570190941422393,0.0,-0.024791695263956078,87.745,0.11333942152265358,1008.0,6.917705609835305,0.08144381374599424,+2% ~ -2%,기/협정,경찰병원 병동(72) 통신시설개선공사,서울지방조달청/경찰청,서울
20170430666-01,97593000.0,18.396316337746384,-0.11777269532860034,-0.31540976584195224,0.0,-0.024791695263956078,87.745,0.11333942152265358,948.0,6.856461984594587,-0.030291676684764374,+2% ~ -2%,기/정,국가지정 음압입원치료병상 설치공사(통신공사) (정정공고),의료법인한전의료재단한일병원,서울
20170431297-01,79662000.0,18.19330325465913,-0.26966931148968104,-0.3460981857889927,0.0,-0.024791695263956078,87.745,0.11333942152265358,1010.0,6.919683849847411,0.08505299947060914,+2% ~ -2%,정,이화여대병설미디어고 체육관 증축 보통신 공사 (공고),서울특별시교육청,서울
20170416313-00,135349000.0,18.72336719313292,0.12693034296992414,-0.25079139634106223,0.0,-0.024791695263956078,87.745,0.11333942152265358,927.0,6.834108738813838,-0.07107389475585672,+2% ~ -2%,기/협정,서울중앙지검 구치감 증축 통신공사,서울지방조달청/법무부,서울
20170407592-00,58745098.0,17.888718286232198,-0.4975631266764412,-0.38189689598736926,0.0,-0.024791695263956078,87.745,0.11333942152265358,951.0,6.859614903654202,-0.024539356242760903,+2% ~ -2%,,서울대학교병원 권역응급의료센터 인증 및 재배치 공사[통신],서울대학교병원,서울
20170405459-00,1034323000.0,20.75701294432952,1.6485264065317937,1.2877782112363587,0.0,-0.024791695263956078,86.745,-0.34258916408631507,967.0,6.876264611890766,0.00583708388516155,+2% ~ -2%,기/의무,김포공항 외곽울타리 개량에 따른 장력시스템 교체공사,한국공항공사,전국/서울
20170405284-00,80000000.0,18.197537205138154,-0.26650142328771365,-0.3455197079605336,0.0,-0.024791695263956078,87.745,0.11333942152265358,541.0,6.297109319933935,-1.0507986121242512,+2% ~ -2%,기,EBS 디지털통합사옥 네트워크 케이블 포설 공사,한국교육방송공사,서울/인천/경기
20170348585-05,11000000.0,16.213405921671733,-1.7510502188368173,-0.46361133566371754,0.0,-0.024791695263956078,88.0,0.22960121085293853,597.0,6.395261598115449,-0.8717253959911179,+2% ~ -2%,정,국립민속박물관 CCTV 시스템 설치공사 (공고),문화체육관광부,서울
20170336646-02,186109000.0,19.0418430869125,0.36521750091236527,-0.1639170337002852,0.0,-0.024791695263956078,87.745,0.11333942152265358,966.0,6.875232087276577,0.003953301798538401,+2% ~ -2%,기/정/협정,서울대학교 약학관4(141동) 리모델링 공사(통신) (정정공고),서울대학교,서울
20170329459-00,19400000.0,16.780783675579947,-1.3265319582738184,-0.44923496359550386,0.0,-0.024791695263956078,88.0,0.22960121085293853,105.0,4.672828834461906,-4.014205430841831,+2% ~ -2%,기,2017년 서울청 상황지휘센터 CCTV유지보수 용역,경찰청,서울/인천/경기
20170325111-00,197744000.0,19.102483827868696,0.4105895686267789,-0.144004046912944,0.0,-0.024791695263956078,87.745,0.11333942152265358,1697.0,7.4377951216719325,1.0303173731499073,+2% ~ -2%,기/협정,2017년 네트워크 선로 정비공사,산림청,서울/경기
20170307727-00,167120000.0,18.93422268119631,0.28469473257853295,-0.19641619193877446,0.0,-0.024791695263956078,87.495,-0.0006427248795885786,1547.0,7.3453648404168685,0.8616836130468053,+2% ~ -2%,,수협중앙회 인천공판장 위판장 재건축 통신공사,수협중앙회,서울/인천/경기
20170315053-00,82390000.0,18.22697464042917,-0.24447601122476675,-0.34142928781255377,0.0,-0.024791695263956078,87.745,0.11333942152265358,972.0,6.881411303642535,0.015226928537882597,+2% ~ -2%,,환일고등학교(환일중학교) 다목적실 증축 통신 공사 (긴급공고),서울특별시교육청,서울
20170300843-00,187962000.0,19.051750378024323,0.37263024482188883,-0.1607456744809519,0.0,-0.024791695263956078,87.745,0.11333942152265358,903.0,6.807934943699926,-0.1188264865071173,+2% ~ -2%,기/협정,00시설 신축 통신공사,서울지방조달청/대통령경호실,서울
20170301609-00,642407950.0,20.280734097543892,1.2921693477862466,0.6170262376729572,0.0,-0.024791695263956078,86.745,-0.34258916408631507,312.0,5.749392985908253,-2.0500757280486073,+2% ~ -2%,,GKL 강남 코엑스점 리모델링에 따른 정보통신공사,그랜드코리아레저(주),서울
20170245366-00,261390000.0,19.38152410670128,0.6193705667908108,-0.03507564493038105,0.0,-0.024791695263956078,87.745,0.11333942152265358,963.0,6.872128101338986,-0.0017097429618535536,+2% ~ -2%,기,김포공항 오수처리시설 신축 정보통신공사,한국공항공사,서울
20170228702-00,403130000.0,19.814769651018757,0.9435296364819316,0.20750851899207237,0.0,-0.024791695263956078,86.745,-0.34258916408631507,894.0,6.79794041297493,-0.137060936015834,+2% ~ -2%,기/협정,한국방송통신대학교 열린관 개보수공사(통신),서울지방조달청/한국방송통신대학교,서울
20170230292-00,24000000.0,16.993564429978885,-1.1673270632695412,-0.44136218841529157,0.0,-0.024791695263956078,87.745,0.11333942152265358,774.0,6.654152520183219,-0.3993937201372667,+2% ~ -2%,,서울용산우체국 키폰주장치 교체공사,과학기술정보통신부,서울
20170232581-00,33660000.0,17.331820776435787,-0.9142399536090718,-0.42482936053684583,0.0,-0.024791695263956078,87.745,0.11333942152265358,836.0,6.731018100482083,-0.25915686645362424,+2% ~ -2%,기,한세사이버보안고등학교 지하강당 통신공사,서울특별시교육청,서울
20170219698-00,181000000.0,19.01400759475496,0.3443906802778976,-0.17266094856891662,0.0,-0.024791695263956078,87.745,0.11333942152265358,958.0,6.866933284461882,-0.011187389152453285,+2% ~ -2%,기,서울동부혈액원 리모델링공사(통신),대한적십자사,서울
20170206869-00,319250000.0,19.581485056009264,0.7689835429711969,0.06395017505376707,0.0,-0.024791695263956078,86.745,-0.34258916408631507,902.0,6.806829360392176,-0.12084356000036517,+2% ~ -2%,기/협정,한국국토정보공사 서울지역본부 사옥 리모델링공사(통신),서울지방조달청/한국국토정보공사,서울
20170213322-00,71862750.0,18.09026862168894,-0.3467609543413131,-0.35944639053339933,0.0,-0.024791695263956078,87.745,0.11333942152265358,1029.0,6.93828448401696,0.1189887923484594,+2% ~ -2%,기,한국방송통신대학교 창조관 내부개선 통신공사,한국방송통신대학교,서울
20170203371-00,51228000.0,17.751796835048673,-0.6000092587107169,-0.394762205239896,0.0,-0.024791695263956078,87.745,0.11333942152265358,985.0,6.894670039433482,0.03941673344035815,+2% ~ -2%,,잠실여고(일신여중) 다목적동 증축 통신공사 (긴급공고),서울특별시교육청,서울
20170114458-00,13750000.0,16.436549454804126,-1.5840917790870452,-0.45890478528424283,0.0,-0.024791695263956078,87.745,0.11333942152265358,1248.0,7.1308988302963465,0.4704026474384471,+2% ~ -2%,,2016년 대림대학교 전산실습실 환경개선공사(3개소)-통신공사 (긴급공고),대림대학교,서울/인천/경기
20170114449-00,16170000.0,16.598668293396205,-1.4627926853359419,-0.4547630209503051,0.0,-0.024791695263956078,87.745,0.11333942152265358,1210.0,7.10002716662926,0.4140790632825895,+2% ~ -2%,,2016년 대림대학교 퇴계관 5층 스마트스테이션Ⅱ 구축공사-통신공사 (긴급공고),대림대학교,서울/인천/경기
20170105849-00,132787110.0,18.704257734573506,0.11263243641284924,-0.25517600155985226,0.0,-0.024791695263956078,87.745,0.11333942152265358,970.0,6.879355804460439,0.011476787877711099,+2% ~ -2%,기,GKL 강남 코엑스점 1~4층 리모델링공사(통신),그랜드코리아레저(주),서울
20170102369-00,1048677000.0,20.770795207602003,1.6588384471268889,1.3123446927443514,0.0,-0.024791695263956078,86.745,-0.34258916408631507,963.0,6.872128101338986,-0.0017097429618535536,+2% ~ -2%,기/의무,KIDA 기품원 군사연구시설 증축공사(통신분야),서울지방조달청/국방부,전국/서울
20170101543-00,139562000.0,18.754019512099234,0.14986474432804847,-0.24358096115970695,0.0,-0.024791695263956078,87.745,0.11333942152265358,940.0,6.848005274576363,-0.04572046029453492,+2% ~ -2%,기/협정,제2교육관 리모델링 통신공사,서울지방조달청/통일부,서울
20161235822-00,1079001000.0,20.799301450932823,1.680167131148475,1.3642433959106028,0.0,-0.024791695263956078,86.745,-0.34258916408631507,946.0,6.854354502255021,-0.034136657641719984,+2% ~ -2%,기/의무,나라키움 중부세무서 개발사업 정보통신공사,한국자산관리공사,전국/서울
20161235847-00,18480000.0,16.732199678290364,-1.362883038094103,-0.4508095186315463,0.0,-0.024791695263956078,87.745,0.11333942152265358,694.0,6.54534966033442,-0.5978983131898665,+2% ~ -2%,기,경복궁 흥복전권역 복원공사(통신),문화재청,서울
1804009-00,1271342000.0,20.9633388732099,1.802901730262785,1.6934297982882565,0.0,-0.024791695263956078,86.745,-0.34258916408631507,907.0,6.812345094177479,-0.11078041927079665,+2% ~ -2%,기/의무,"서울휘경, 서울잠실 행복주택 정보통신공사 1공구(행복240호)",한국토지주택공사,전국/서울
20181129768-00,199893000.0,19.113292786351423,0.41867694995602156,-0.14032609172549265,0.0,-0.024791695263956078,87.745,0.11333942152265358,923.0,6.829793737512425,-0.0789463677639082,+2% ~ -2%,기/협정,장애인 건강검진센터 건립사업 통신공사,서울지방조달청/보건복지부,서울
20181207363-00,118110000.0,18.587126960054714,0.024993905796158494,-0.2802954770653403,0.0,-0.024791695263956078,87.745,0.11333942152265358,927.0,6.834108738813838,-0.07107389475585672,+2% ~ -2%,기,CKL획센터(대학로) 원상복구 및 개보수 공사(통신),한국콘텐츠진흥원,서울
20181214967-00,90640000.0,18.32240618571668,-0.1730730819959855,-0.3273096366741296,0.0,-0.024791695263956078,87.745,0.11333942152265358,940.0,6.848005274576363,-0.04572046029453492,+2% ~ -2%,,숭실고등학교 급식실 및 체육관 증축공사 통신 (장기계속 총차) 입찰공고문(긴급) (긴급공고),서울특별시교육청,서울
20181208103-00,134136610.0,18.714369323667835,0.1201980383143767,-0.2528663689281791,0.0,-0.024791695263956078,87.745,0.11333942152265358,2057.0,7.629975707027789,1.3809398562508957,+2% ~ -2%,,수원법원종합청사 전자법정 랜케이블 구축 1차 사업,대법원,서울/경기
20181208293-00,7150000.0,15.78262305453032,-2.0733666864450937,-0.47020050619498216,0.0,-0.024791695263956078,87.745,0.11333942152265358,343.0,5.84354441703136,-1.8783018284802995,+2% ~ -2%,기,미림여자정보과학고등학교 관리동 소프트웨어프로젝트실 외 1실 리모델링 공사(통신) (긴급공고),서울특별시교육청,서울
20181207260-00,55430000.0,17.83063153943676,-0.5410242679381627,-0.3875705962600587,0.0,-0.024791695263956078,87.745,0.11333942152265358,1006.0,6.915723448631314,0.07782747403112292,+2% ~ -2%,기,해성여자고등학교 신관동 특별교실 증축 통신공사(긴급) (긴급공고),서울특별시교육청해성여자고등학교,서울
20181204110-00,161600000.0,18.900634710239387,0.2595638441919925,-0.20586352215502918,0.0,-0.024791695263956078,87.745,0.11333942152265358,934.0,6.841615476477592,-0.05737828135776418,+2% ~ -2%,연기,도서관 실내 인테리어 통신공사 입찰 공고,서울과학기술대학교,서울
20181141099-00,295000000.0,19.502485917693924,0.709875520930155,0.022446958071126354,0.0,-0.024791695263956078,87.745,0.11333942152265358,957.0,6.8658910748834385,-0.013088840902268917,+2% ~ -2%,기/협정,본관 통신케이블 교체공사,국회,서울
20181139591-01,129656000.0,18.68039535503281,0.09477834223003653,-0.26053481136300755,0.0,-0.024791695263956078,87.745,0.11333942152265358,962.0,6.871091294610546,-0.0036013375209423115,+2% ~ -2%,정,[긴급] 세그루패션디자인고 다목적강당겸 체육관증축 [보통신]공사 입찰공고 (긴급공고) (공고),서울특별시교육청세그루패션디자인고등학교,서울
20181140322-00,250497000.0,19.33895750636164,0.5875217693894456,-0.05371871885169673,0.0,-0.024791695263956078,87.745,0.11333942152265358,944.0,6.852242569051878,-0.037989758944634695,+2% ~ -2%,기,배명고등학교 방송시설 개선공사 (긴급공고),서울특별시교육청,서울
20181202256-00,30522000.0,17.23395832579621,-0.987461712893393,-0.4301999623880428,0.0,-0.024791695263956078,87.745,0.11333942152265358,830.0,6.723832440821209,-0.2722666914047195,+2% ~ -2%,기,한국예술종합학교 LED 전광판 설치 통신공사 (긴급공고),문화체육관광부,서울
20181138754-00,227784000.0,19.243908373850697,0.5164049655958034,-0.0925914020404274,0.0,-0.024791695263956078,87.745,0.11333942152265358,2227.0,7.709308333385869,1.525677694326927,+2% ~ -2%,기,분당선 이매역 등 8역 역무자동화설비 이설 타공사,한국철도공사,서울/경기/충남
20181117837-00,161664000.0,18.901030671437915,0.25986010670509196,-0.20575398789165233,0.0,-0.024791695263956078,87.745,0.11333942152265358,2113.0,7.656810091480378,1.4298976554574663,+2% ~ -2%,기/연기,일산선 삼송역등 14개소 집수정 개량에 따른 통신설비 신설공사,한국철도공사,서울/경기
20181117833-00,591899000.0,20.19884657187443,1.2309002026363798,0.5305815402950046,0.0,-0.024791695263956078,86.745,-0.34258916408631507,908.0,6.813444599510896,-0.10877443469399066,+2% ~ -2%,기/연기,경부선 영등포역 영상감시설비 개량공사,한국철도공사,서울
20181117602-00,59645000.0,17.903920897464047,-0.4861883661545398,-0.3803567381329729,0.0,-0.024791695263956078,87.745,0.11333942152265358,925.0,6.831953565565855,-0.07500588504676704,+2% ~ -2%,기/협정,5.18민주화운동 진상규명조사위원회 사무실 조성공사(통신 및 네트워크시설 구축),서울지방조달청/국방부,서울
20181111728-00,99345000.0,18.41410920863526,-0.10445987411180399,-0.31241126538201053,0.0,-0.024791695263956078,87.745,0.11333942152265358,2004.0,7.603897968521881,1.3333625142854262,+2% ~ -2%,기,경원선 옥수~의정부간 통신설비 공용접지 연결 타공사,한국철도공사,서울/경기
20181111953-01,116176000.0,18.570616849209795,0.012640859718286959,-0.28360546558676,0.0,-0.024791695263956078,87.945,0.20452513864444213,290.0,5.676753802268282,-2.1826017628253,+2% ~ -2%,물품/정,강남지점 리모델링공사 관급자재(CCTV) 구매,서울올림픽기념국민체육진흥공단,서울/경기
20181109406-00,11640468.0,16.26999829155208,-1.7087071867787962,-0.4625151920606479,0.0,-0.024791695263956078,87.745,0.11333942152265358,659.0,6.493753839851686,-0.6920319358021141,+2% ~ -2%,기,김포공항 청년창업육성센터 정보통신공사,한국공항공사,서울
20181106796-03,174183000.0,18.975617034383465,0.3156664417988843,-0.18432805909141814,0.0,-0.024791695263956078,87.745,0.11333942152265358,978.0,6.887552571664617,0.026431320694894806,+2% ~ -2%,정,"2018년도 서울여자상업고등학교 교사동(석포관,강석관)방송시설개선공사(통신)긴급공고 (공고)",서울특별시교육청,서울
20181104984-00,100908000.0,18.429719778513054,-0.0927798744550143,-0.30973623329360367,0.0,-0.024791695263956078,87.745,0.11333942152265358,2019.0,7.611347717403621,1.3469541549111315,+2% ~ -2%,기,경부선 회역 등 14개소 PSD 승무원감시용 모니터 교체공사,한국철도공사,서울/경기
20181001056-00,6460882000.0,22.589031678083725,3.019262923455536,10.57518669148798,0.0,-0.024791695263956078,85.495,-0.9124998960975259,650.0,6.480044561926653,-0.7170437290521758,+2% ~ -2%,기/의무,여의도우체국 건립 정보통신공사,전국/서울,전국/서울
20181037726-00,597007000.0,20.20743939825629,1.2373294496130554,0.5393237436907707,0.0,-0.024791695263956078,86.745,-0.34258916408631507,913.0,6.818924065275521,-0.09877746289321122,+2% ~ -2%,기,서울대학교 약학대학 20동 재건축 통신공사 (긴급공고),서울대학교,서울
20181024281-00,10120000.0,16.13002432063782,-1.813437247566888,-0.4651174317851494,0.0,-0.024791695263956078,87.745,0.11333942152265358,1077.0,6.983789965258135,0.20201093945006185,+2% ~ -2%,기,경복궁 영추문 매수표소 설치공사(통신) (긴급공고),문화재청,서울/경기
20181022028-00,57000000.0,17.858561843342684,-0.5201265081133077,-0.38488358386159494,0.0,-0.024791695263956078,87.745,0.11333942152265358,1154.0,7.052721049232323,0.32777175853134366,+2% ~ -2%,,출입통제시스템 개선 공사,국민건강보험공단,서울/인천/경기
20181021373-00,11404000.0,16.249474816703227,-1.7240630758377697,-0.46291990062615107,0.0,-0.024791695263956078,87.745,0.11333942152265358,567.0,6.343880434126331,-0.9654673901115179,+2% ~ -2%,기,한세사이버보안고 도서관 통신공사 (긴급공고),서울특별시교육청,서울
20181021470-00,19370659.0,16.779270108111938,-1.3276644260597656,-0.44928517992084355,0.0,-0.024791695263956078,87.745,0.11333942152265358,800.0,6.687108607866515,-0.3392672236162231,+2% ~ -2%,,김포공항 국제선청사 장애인 화장실 인터컴 설치 및 기타 정보통신공사,한국공항공사,서울
20181000532-00,191465000.0,19.070215587479804,0.38644611713090515,-0.15475038503393374,0.0,-0.024791695263956078,87.745,0.11333942152265358,930.0,6.837332814685591,-0.0651917527810743,+2% ~ -2%,기/협정,00청사 통신 인프라 시설보강공사,서울지방조달청/대통령경호처,서울
20181016664-00,43000000.0,17.57671069691365,-0.7310106282529504,-0.4088442039752844,0.0,-0.024791695263956078,85.0,-1.1381845459739675,966.0,6.875232087276577,0.003953301798538401,+2% ~ -2%,기,본관 1층 서측 사무공간 조성공사(통신),한국방송공사,서울
20181016080-00,188000000.0,19.05195252611337,0.3727814942400196,-0.16068063851207187,0.0,-0.024791695263956078,87.745,0.11333942152265358,648.0,6.476972362889683,-0.7226487804309529,+2% ~ -2%,,통신시스템 개선 공사,국민건강보험공단,서울/경기
20181009958-00,182147570.0,19.020327746166608,0.3491194869067894,-0.17069691365292614,0.0,-0.024791695263956078,87.745,0.11333942152265358,985.0,6.894670039433482,0.03941673344035815,+2% ~ -2%,기,관악서 수사부서 등 개선공사(통신),경찰청,서울
20180903989-00,8585760000.0,22.87337085399379,3.232008614550758,14.21185773048343,0.0,-0.024791695263956078,85.495,-0.9124998960975259,539.0,6.293419278846481,-1.0575308809766544,+2% ~ -2%,기/의무,IBK 기업은행 본점 대수선공사(통신공사),전국/서울,전국/서울
20180907312-01,316488000.0,19.57279588729746,0.7624822116062202,0.05922308699990919,0.0,-0.024791695263956078,87.745,0.11333942152265358,961.0,6.870053411798126,-0.005494895333687174,+2% ~ -2%,기/정/협정,국립극장 지하주차장 건립 통신공사 (정정공고),서울지방조달청/문화체육관광부,서울
20181004091-00,112446990.0,18.53799247745222,-0.011769053174996002,-0.2899875650160564,0.0,-0.024791695263956078,87.745,0.11333942152265358,908.0,6.813444599510896,-0.10877443469399066,+2% ~ -2%,,예술의전당 서예박물관 중앙감시실 구축(1차) 자동제어설비 이설공사,예술의전당,서울
20181004707-00,18966000.0,16.758158513151738,-1.3434603530387152,-0.4499777428190282,0.0,-0.024791695263956078,87.745,0.11333942152265358,740.0,6.60934924316738,-0.4811347358036863,+2% ~ -2%,,미림여자고등학교 역사관 증축공사(통신),서울특별시교육청,서울
20181002722-00,119970000.0,18.60275227782653,0.03668493998906367,-0.27711213753595015,0.0,-0.024791695263956078,87.745,0.11333942152265358,970.0,6.879355804460439,0.011476787877711099,+2% ~ -2%,기,GKL 코엑스점 전산실 환경개선 정보통신공사,그랜드코리아레저(주),서울
20180920660-00,341359000.0,19.64844527031056,0.8190839099776738,0.10178912863187856,0.0,-0.024791695263956078,86.745,-0.34258916408631507,2094.0,7.647786045440933,1.413433799734948,+2% ~ -2%,,강남지점 리모델링 정보통신공사,서울올림픽기념국민체육진흥공단,서울/경기
20180919875-01,100833000.0,18.42897625089386,-0.09333618997744365,-0.3098645937584984,0.0,-0.024791695263956078,87.745,0.11333942152265358,652.0,6.483107351457199,-0.7114558447795415,+2% ~ -2%,정/협정,서울동부지방검찰청 사이버수사부 환경개선공사(통신) (긴급공고) (정정공고),대검찰청,서울
20180921294-00,42790000.0,17.571815011762947,-0.7346736335966125,-0.40920361327698973,0.0,-0.024791695263956078,87.745,0.11333942152265358,947.0,6.855408798609928,-0.03221315425974607,+2% ~ -2%,기,서울캠퍼스 제9호관 4층 경영대학 연구센터 설치공사(통신),한국과학기술원,서울
20180916973-00,79829000.0,18.195397417451233,-0.2681024359121406,-0.3458123698204937,0.0,-0.024791695263956078,87.745,0.11333942152265358,977.0,6.88653164253051,0.024568693898291433,+2% ~ -2%,,혜성여자고등학교 체육관 및 학생식당 증축공사(통신),서울특별시교육청,서울
20180910501-00,60000000.0,17.909855136853043,-0.4817483031350997,-0.3797491652658043,0.0,-0.024791695263956078,87.745,0.11333942152265358,919.0,6.825460036255307,-0.08685295777129631,+2% ~ -2%,연기/협정,국회 교육위원회 전체회의실 중계카메라 광복합케이블 구매설치 공사 (긴급공고),국회,서울
20180824952-00,205868000.0,19.142745749527176,0.4407139801526964,-0.13010004135554304,0.0,-0.024791695263956078,87.745,0.11333942152265358,945.0,6.853299093186078,-0.036062191106793734,+2% ~ -2%,기/협정,정부서울청사 본관 노후 통신 부대시설 보강공사,서울지방조달청/행정안전부,서울
20180902018-00,39479000.0,17.491279468258035,-0.7949312108574431,-0.4148702999338773,0.0,-0.024791695263956078,87.745,0.11333942152265358,948.0,6.856461984594587,-0.030291676684764374,+2% ~ -2%,기,신사파출소 신축공사(통신),경찰청,서울
20180824604-00,150931000.0,18.832333343327228,0.20846001208736686,-0.22412322615452585,0.0,-0.024791695263956078,87.745,0.11333942152265358,960.0,6.8690144506657065,-0.007390420479579176,+2% ~ -2%,기/협정,헌법재판연구원 방송 및 통신설비 공사,서울지방조달청/헌법재판소,서울
20180827541-00,14920000.0,16.518213219764014,-1.522990054155113,-0.45690236203188445,0.0,-0.024791695263956078,87.745,0.11333942152265358,755.0,6.6293632534374485,-0.44462031909137345,+2% ~ -2%,,한국체육대학교 학생회관 1층 업무공간조성 통신공사,한국체육대학교,서울
1802662-00,608280000.0,20.22614586188051,1.2513258309380861,0.5586171773008866,0.0,-0.024791695263956078,86.745,-0.34258916408631507,807.0,6.695798917058491,-0.32341225167842785,+2% ~ -2%,기,서울서부권 건설및매입임대주택 유지보수공사 (정보통신),한국토지주택공사,서울
1802661-00,699952000.0,20.36652232065665,1.3563570375604033,0.7155113178053253,0.0,-0.024791695263956078,86.745,-0.34258916408631507,805.0,6.693323668269949,-0.32792820148118423,+2% ~ -2%,기,서울동부권 건설및매입임대주택 유지보수공사 (정보통신),한국토지주택공사,서울
20180821076-01,104960000.0,18.469089892687492,-0.06332272307328579,-0.3028013452435558,0.0,-0.024791695263956078,87.745,0.11333942152265358,995.0,6.904750769961838,0.0578084495587133,+2% ~ -2%,기/정,종합교육연구동(220동) 지하2층 강의실(3실) 증축 통신공사 (정정공고),서울대학교,서울
20180816185-00,14624682.0,16.498221275633608,-1.5379482460987575,-0.45740779077550836,0.0,-0.024791695263956078,87.745,0.11333942152265358,693.0,6.543911845564792,-0.6005215239779528,+2% ~ -2%,,김포공항 지상감시레이더 선로개선공사,한국공항공사,서울
20180819135-00,74369000.0,18.124549759753442,-0.3211114307196707,-0.3551570116648326,0.0,-0.024791695263956078,87.745,0.11333942152265358,1043.0,6.951772164398911,0.1435962935590291,+2% ~ -2%,기/협정,국립고궁박물관 전시동 공간조성공사(통신),서울지방조달청/문화재청,서울
20180818875-00,20500000.0,16.835935492889124,-1.2852667634548343,-0.44735234344371394,0.0,-0.024791695263956078,87.745,0.11333942152265358,839.0,6.734591659972948,-0.25263711161014585,+2% ~ -2%,기,코레일유통(주) 서울본부사옥 3층 용도변경 통신공사,코레일유통,서울
20180817328-00,24443000.0,17.011854475236895,-1.1536422507349195,-0.4406040059359798,0.0,-0.024791695263956078,87.745,0.11333942152265358,831.0,6.725033642166843,-0.27007516827177286,+2% ~ -2%,,통합감시반 전력제어 및 CCTV 이설 공사,한국체육산업개발주식회사,서울
20180807669-00,206398128.0,19.145317526608114,0.44263821198137715,-0.1291927416684266,0.0,-0.024791695263956078,87.745,0.11333942152265358,982.0,6.891625897052253,0.03386286982482717,+2% ~ -2%,기,김포공항 국제선청사 간선케이블 포설 및 타 정보통신공사,한국공항공사,서울
20180811268-00,41149220.0,17.532715554166973,-0.7639282767567753,-0.41201176372485687,0.0,-0.024791695263956078,87.745,0.11333942152265358,904.0,6.80903930604298,-0.11681164059410365,+2% ~ -2%,기,경찰청 층간스위치 이설공사,경찰청,서울
20180809711-00,616618000.0,20.239760266957102,1.2615122781893289,0.5728874380514539,0.0,-0.024791695263956078,86.745,-0.34258916408631507,742.0,6.612041034833092,-0.47622371591021173,+2% ~ -2%,,주택도시보증공사 여의도 영업부서 이전사무실 인테리어 공사(통신),주택도시보증공사,서울
20180733017-00,29537000.0,17.201154306555505,-1.0120060400045887,-0.4318857631603274,0.0,-0.024791695263956078,87.745,0.11333942152265358,1917.0,7.5595594960077,1.2524695078402597,+2% ~ -2%,기,경복궁 업무시설 증축공사(통신),문화재청,서울/경기
20180734021-00,85379411.0,18.262615552411628,-0.21780908983870237,-0.33631299200293346,0.0,-0.024791695263956078,87.745,0.11333942152265358,1019.0,6.928537818164665,0.10120655811933933,+2% ~ -2%,,서8병동 재배치 공사(통신),서울대학교병원,서울
20180723551-00,788229000.0,20.48529921600922,1.445227213845644,0.8665950079321943,0.0,-0.024791695263956078,86.745,-0.34258916408631507,1070.0,6.977281341630747,0.19013632800802352,+2% ~ -2%,기/의무,국립극장 해오름 리모델링 통신공사,서울지방조달청/문화체육관광부,전국/서울
20180729222-00,9939600.0,16.11203743698202,-1.8268952312645423,-0.465426181490043,0.0,-0.024791695263956078,87.745,0.11333942152265358,265.0,5.58724865840025,-2.345898777116365,+2% ~ -2%,특허,"전자서명인증관리센터 UPS, 항온항습기 노후설비 보수공사",한국인터넷진흥원,서울
20180717238-00,58000000.0,17.87595358575207,-0.5071138156259192,-0.3831721109963314,0.0,-0.024791695263956078,87.745,0.11333942152265358,963.0,6.872128101338986,-0.0017097429618535536,+2% ~ -2%,기,CKL업지원센터 창작자지원시설 리모델링 공사(통신),한국콘텐츠진흥원,서울
