,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
11,212,1098612092,(주)유광전기,기수인,분석,650170540,88.294,88.507,0.3729 (100.3729),,2024/01/24 17:53:30,
12,213,4048147619,주식회사 동일일렉스,정준영,분석,650178900,88.295,88.508,0.3741 (100.3741),,2024/01/22 09:22:28,
13,214,1138649088,주식회사 호선이엔씨,정재곤,분석,650183500,88.296,88.508,0.3749 (100.3749),,2024/01/24 20:23:38,
14,215,1358145603,한라인포넷(주),장경민,분석,650233372,88.303,88.515,0.3826 (100.3826),,2024/01/24 00:17:11,
15,216,6868600074,주식회사 창의이엔씨,강혜자,분석,650246263,88.305,88.517,0.3845 (100.3845),,2024/01/25 09:07:30,
16,217,2208108546,경림전기(주),김인형,분석,650247630,88.305,88.517,0.3848 (100.3848),,2024/01/22 12:30:12,
17,218,1058169109,대조전설 주식회사,장철호,분석,650282600,88.31,88.522,0.3901 (100.3901),,2024/01/23 09:58:17,
18,219,1088171147,경원산전주식회사,배종근,분석,650311110,88.314,88.526,0.3946 (100.3946),,2024/01/24 22:28:39,
19,220,7098102220,주식회사 가원플러스,김강윤,분석,650318220,88.315,88.527,0.3956 (100.3956),,2024/01/23 19:25:41,
20,221,2158623647,시공전설(주),황호진,분석,650318261,88.315,88.527,0.3957 (100.3957),,2024/01/18 10:20:23,
21,222,2098139213,(주)뉴타운전력,박형우,분석,650327296,88.316,88.528,0.3971 (100.3971),,2024/01/24 22:26:15,
22,223,2148122183,(주)하나전기,김선식,분석,650376526,88.323,88.535,0.4047 (100.4047),,2024/01/24 20:15:58,
23,224,1138173638,(주)정우기전,이강필,분석,650383660,88.324,88.536,0.4058 (100.4058),,2024/01/24 20:04:25,
24,225,1298119624,우일계전공업 주식회사,백노현,분석,650450900,88.334,88.545,0.4161 (100.4161),,2024/01/25 08:36:00,
25,226,2208600404,에이치플러스에코(주),허자홍,분석,650452850,88.334,88.545,0.4164 (100.4164),,2024/01/24 17:23:35,
26,227,1098143173,에이스건설 주식회사,원경환,분석,650454900,88.334,88.545,0.4167 (100.4167),,2024/01/25 08:27:10,
27,228,1268159398,주식회사 파이런텍,이병길,분석,650465920,88.336,88.547,0.4185 (100.4185),,2024/01/24 11:29:31,
28,229,1058662080,주식회사 호재전력,윤재봉,분석,650485160,88.339,88.549,0.4214 (100.4214),,2024/01/24 16:19:39,
29,230,2018147460,태성전기통신(주),이덕우,분석,650508000,88.342,88.553,0.4249 (100.4249),,2024/01/23 22:08:58,
30,231,2068190773,진일전력 주식회사,안승종,분석,650514500,88.343,88.553,0.4260 (100.426),,2024/01/19 10:40:15,
31,232,2338701328,주식회사 서연이엔씨,이유순,분석,650532080,88.345,88.556,0.4287 (100.4287),,2024/01/25 07:26:21,
32,233,2148854189,(주)태원전기,김응식,분석,650545104,88.347,88.558,0.4307 (100.4307),,2024/01/24 11:12:26,
33,234,1058746506,(주)파워일렉,이정림,분석,650584480,88.353,88.563,0.4368 (100.4368),,2024/01/23 12:44:12,
34,235,1058737201,주식회사 그린중전기,김종철,분석,650594819,88.354,88.564,0.4384 (100.4384),,2024/01/24 16:21:27,
35,236,2158133077,오티씨 주식회사,김희언,분석,650595596,88.354,88.565,0.4385 (100.4385),,2024/01/23 13:19:09,
36,237,2118813312,(주)명인에스아이엔지니어링,김인호,분석,650603160,88.355,88.566,0.4396 (100.4396),,2024/01/24 11:43:24,
37,238,1110236253,삼영 E＆I,최종운,분석,650607600,88.356,88.566,0.4403 (100.4403),,2024/01/23 19:21:28,
38,239,1178173829,(주)신흥이엔지,채종근,분석,650640500,88.361,88.571,0.4454 (100.4454),,2024/01/24 15:23:09,
39,240,2068184285,주식회사 진명파워택,이명규,분석,650721635,88.372,88.582,0.4579 (100.4579),,2024/01/25 09:44:53,
40,241,1138611108,(주)도원디에스,이정우,분석,650722427,88.372,88.582,0.4581 (100.4581),,2024/01/18 16:43:07,
41,242,1118101759,신원전설(주),심한섭,분석,650750930,88.376,88.586,0.4625 (100.4625),,2024/01/24 11:28:06,
42,243,1848601392,주식회사 승복이엔씨,이정순,분석,650758580,88.377,88.587,0.4636 (100.4636),,2024/01/25 11:32:00,
43,244,1138630522,주식회사진성산전,이근영,분석,650772960,88.379,88.589,0.4659 (100.4659),,2024/01/24 16:29:33,
44,245,1058649199,주식회사 두배라,김왕섭,분석,650780724,88.38,88.59,0.4671 (100.4671),,2024/01/22 10:26:23,
45,246,1068180878,주식회사 신보,정재문,분석,650815250,88.385,88.594,0.4724 (100.4724),,2024/01/25 09:28:57,
46,247,1138618964,주식회사 에스엠플러스정보통신,왕성모,분석,650815251,88.385,88.594,0.4724 (100.4724),,2024/01/24 17:53:10,
47,248,1048142446,주식회사 디에스 이앤티,양종만,분석,650824124,88.386,88.596,0.4738 (100.4738),,2024/01/24 16:21:06,
48,249,1108155460,주식회사 자유전설,김상중,분석,650824448,88.386,88.596,0.4738 (100.4738),,2024/01/25 09:11:02,
49,250,6188701214,주식회사솔민전기,김민규,분석,650827427,88.387,88.596,0.4743 (100.4743),,2024/01/24 12:31:00,
0,251,1248691271,주식회사 티팩토리,최형석,분석,650837080,88.388,88.597,0.4758 (100.4758),,2024/01/24 10:59:38,
1,252,1068801509,주식회사 기영이엔씨,조용리,분석,650844205,88.389,88.598,0.4769 (100.4769),,2024/01/24 18:11:00,
2,253,1088604075,청목이앤아이 주식회사,김희경,분석,650845550,88.389,88.599,0.4771 (100.4771),,2024/01/24 16:16:50,
3,254,1328105709,(주)왕선전설,조정현,분석,650874649,88.394,88.602,0.4816 (100.4816),,2024/01/24 09:26:35,
4,255,2138610414,(주)성창기전,지광섭,분석,650897967,88.397,88.606,0.4851 (100.4851),,2024/01/24 09:25:15,
5,256,1088167420,주식회사미성전력,왕만성,분석,650901860,88.397,88.606,0.4858 (100.4858),,2024/01/24 15:59:19,
6,257,3628601497,호재전력공사 주식회사,박재일,분석,650919344,88.4,88.609,0.4885 (100.4885),,2024/01/25 12:01:01,
7,258,2188100686,주식회사 윈피앤에스,박화재,분석,650923879,88.401,88.609,0.4892 (100.4892),,2024/01/22 10:37:51,
8,259,2048189682,세왕전력(주),안성호,분석,650929514,88.401,88.61,0.4900 (100.49),,2024/01/19 15:57:17,
9,260,1058691402,신림전기 주식회사,이승규,분석,650929514,88.401,88.61,0.4900 (100.49),,2024/01/24 20:40:27,
10,261,1068674084,주식회사월드아이,신영구,분석,650947710,88.404,88.612,0.4928 (100.4928),,2024/01/24 16:41:24,
11,262,2048636346,태양이엘씨 주식회사,이은영,분석,650964440,88.406,88.615,0.4954 (100.4954),,2024/01/23 14:10:32,
12,263,2068159694,주식회사 일민전력,김순기,분석,650965990,88.406,88.615,0.4957 (100.4957),,2024/01/24 16:47:02,
13,264,3748701181,주식회사 동현이엔지,이명선,분석,651011261,88.413,88.621,0.5026 (100.5026),,2024/01/24 19:22:20,
14,265,1328127945,부민통신 주식회사,박창욱,분석,651013916,88.413,88.621,0.5031 (100.5031),,2024/01/18 13:59:59,
15,266,1054184031,영우전설,신도현,분석,651061980,88.42,88.628,0.5105 (100.5105),,2024/01/25 02:22:02,
16,267,1138123972,(주)일광테크,임기철,분석,651194640,88.439,88.646,0.5310 (100.531),,2024/01/22 10:57:19,
17,268,2158707436,연동종합전설(주),이영정,분석,651217320,88.442,88.649,0.5345 (100.5345),,2024/01/23 17:04:00,
18,269,1108127950,서경전기(주),이종환,분석,651222298,88.443,88.65,0.5352 (100.5352),,2024/01/24 09:11:24,
19,270,1058622531,건웅신호산전(주),박정현,분석,651234850,88.444,88.652,0.5372 (100.5372),,2024/01/24 09:27:52,
20,271,1768102129,미송전력 주식회사,장이순,분석,651293430,88.453,88.66,0.5462 (100.5462),,2024/01/23 17:57:34,
21,272,2208761714,(주)희상리인포스,노광근,분석,651309000,88.455,88.662,0.5486 (100.5486),,2024/01/25 09:06:55,
22,273,2128166939,주식회사 연일전력,최희성,분석,651332126,88.458,88.665,0.5522 (100.5522),,2024/01/23 15:39:02,
23,274,2068674517,주식회사 임광기전,김건화,분석,651422000,88.471,88.677,0.5660 (100.566),,2024/01/23 16:53:30,
24,275,2128107793,호곡종합건설(주),박성환,분석,651445969,88.474,88.68,0.5698 (100.5698),,2024/01/25 12:06:47,
25,276,2158171237,(주)모빌텍,오승환,분석,651520149,88.485,88.69,0.5812 (100.5812),,2024/01/25 09:31:17,
26,277,1058655478,(주)삼화종합전설,윤성원,분석,651521756,88.485,88.691,0.5815 (100.5815),,2024/01/22 10:43:56,
27,278,2878601352,명강이엔씨(주),조정복,분석,651599624,88.496,88.701,0.5935 (100.5935),,2024/01/24 17:03:46,
28,279,2068601178,주식회사 해인이티에프,오재근,분석,651605965,88.497,88.702,0.5945 (100.5945),,2024/01/23 06:59:56,
29,280,2098113590,(주)통광,박용준,분석,651753200,88.518,88.722,0.6172 (100.6172),,2024/01/24 17:07:54,
30,281,2168107679,세림전기(주),안재영,분석,651767000,88.52,88.724,0.6193 (100.6193),,2024/01/23 17:18:02,
31,282,1078162397,신용통신 주식회사,김형종,분석,651826202,88.528,88.732,0.6285 (100.6285),,2024/01/22 13:30:49,
32,283,2048605178,마성전설 주식회사,이민선,분석,651849000,88.531,88.735,0.6320 (100.632),,2024/01/25 08:48:08,
33,284,1108182875,병민전기(주),이옥화,분석,651851500,88.531,88.735,0.6324 (100.6324),,2024/01/24 11:15:32,
34,285,2148105563,(주)인성이엔씨,김규만,분석,651981856,88.55,88.753,0.6525 (100.6525),,2024/01/22 13:02:34,
35,286,7258800112,동서전기건설공사 주식회사,박진규,분석,651993064,88.551,88.755,0.6542 (100.6542),,2024/01/25 09:15:48,
36,287,2068609490,(주) 국일전기,간영순,분석,652001096,88.553,88.756,0.6555 (100.6555),,2024/01/25 08:51:51,
37,288,1098172945,(주)마커스코리아,이헌철,분석,652011500,88.554,88.757,0.6571 (100.6571),,2024/01/24 13:09:57,
38,289,6338800846,원흥이엔씨 주식회사,최재혁,분석,652013910,88.554,88.758,0.6574 (100.6574),,2024/01/23 14:06:14,
39,290,2108116603,동경전력(주),정종만,분석,652081250,88.564,88.767,0.6678 (100.6678),,2024/01/20 10:03:12,
40,291,2108161146,동현전력(주),김종황,분석,652102550,88.567,88.77,0.6711 (100.6711),,2024/01/25 02:51:33,
41,292,6158157115,주식회사 지이티에스,윤재선,분석,652247418,88.587,88.789,0.6935 (100.6935),,2024/01/24 14:14:37,
42,293,1018151121,주식회사 경원전력,최경택,분석,652336270,88.6,88.801,0.7072 (100.7072),,2024/01/24 13:26:11,
43,294,2118620935,주식회사 한양티이씨,조형국,분석,652341000,88.601,88.802,0.7079 (100.7079),,2024/01/23 17:35:42,
44,295,2148684980,(합)다복전력,최완자,분석,652395300,88.608,88.809,0.7163 (100.7163),,2024/01/24 09:17:07,
45,296,1098604684,주식회사 청신에프이,김순수,분석,652429909,88.613,88.814,0.7217 (100.7217),,2024/01/24 09:47:53,
46,297,2218120693,주식회사 일동에너텍,김종삼,분석,652520595,88.626,88.827,0.7357 (100.7357),,2024/01/24 16:19:59,
47,298,2318106475,주식회사 경천일렉콤,유건준,분석,652528910,88.627,88.828,0.7369 (100.7369),,2024/01/24 15:45:49,
48,299,1198632979,성민전기 주식회사,김미영,분석,652678000,88.648,88.848,0.7600 (100.76),,2024/01/22 12:45:57,
49,300,2148188924,우민전기(주),이학표,분석,652788766,88.664,88.863,0.7771 (100.7771),,2024/01/24 09:06:10,
0,301,2108119522,(주)대보전력,김점숙,분석,652825040,88.669,88.868,0.7827 (100.7827),,2024/01/24 09:17:52,
1,302,1070373839,영도전기공사,방현복,분석,652900820,88.68,88.878,0.7943 (100.7943),,2024/01/24 09:54:50,
2,303,2108164712,주식회사 데스카,조혜연,분석,652945550,88.686,88.884,0.8013 (100.8013),,2024/01/19 09:14:48,
3,304,1078682044,명승파워넷 주식회사,공건식,분석,653045280,88.7,88.898,0.8167 (100.8167),,2024/01/23 11:55:04,
4,305,1168155492,주식회사 코콤텍,고성춘,분석,653176130,88.718,88.916,0.8369 (100.8369),,2024/01/23 11:10:30,
5,306,6818700095,주식회사 진영이엔씨,조근호,분석,653304380,88.736,88.933,0.8567 (100.8567),,2024/01/23 11:34:00,
6,307,1138163917,백두전기통신(주),장철,분석,653407371,88.751,88.947,0.8726 (100.8726),,2024/01/22 22:58:02,
7,308,4578700283,주식회사 대륙전기,이경환,분석,653407380,88.751,88.947,0.8726 (100.8726),,2024/01/23 07:32:16,
8,309,2128604113,주식회사 아리아,장시진,분석,653435230,88.755,88.951,0.8769 (100.8769),,2024/01/23 09:07:16,
9,310,2055460324,대성전기건설공사,김대용,분석,653485232,88.762,88.958,0.8846 (100.8846),,2024/01/24 09:06:26,
10,311,2158676426,주식회사 건영이앤씨,박지명,분석,653492875,88.763,88.959,0.8858 (100.8858),,2024/01/24 15:58:18,
11,312,2128607691,주식회사 대방전기,여민구,분석,653718570,88.795,88.99,0.9206 (100.9206),,2024/01/23 09:20:58,
12,313,3128196859,주식회사 가델,김정민,분석,654163200,88.858,89.05,0.9892 (100.9892),,2024/01/23 17:11:06,
13,314,1088155278,금하개발(주),김명준,분석,654254636,88.871,89.063,1.0034 (101.0034),,2024/01/24 17:34:56,
14,315,1188108054,대한신호(주),안지수,분석,654415113,88.893,89.084,1.0281 (101.0281),,2024/01/23 16:54:39,
15,316,1068194348,(주)퓨젼아이앤씨,임영출,분석,654736484,88.939,89.128,1.0777 (101.0777),,2024/01/24 14:32:14,
16,317,2148104884,두원이에프씨 주식회사,장병민,분석,655252178,89.011,89.198,1.1574 (101.1574),,2024/01/24 16:38:08,
17,318,2158603049,유니넷텍(주),김한호,분석,656878430,89.241,89.42,1.4084 (101.4084),,2024/01/25 09:58:32,
18,319,2098134940,주식회사윤송이엔씨,정윤계,분석,660977140,89.819,89.978,2.0412 (102.0412),,2024/01/24 08:32:20,
19,-1,1058661816,풍성기전 주식회사,최재철,분석,646414840,87.764,87.995,-0.2070 (99.793),,2024/01/22 12:06:23,
20,-2,2158647090,창건전기(주),이무옥,분석,646389160,87.761,87.992,-0.2109 (99.7891),,2024/01/25 07:47:54,
21,-3,2208798467,주식회사 태산이에이지,최홍석,분석,646385706,87.76,87.991,-0.2114 (99.7886),,2024/01/23 12:50:49,
22,-4,2028136758,주식회사 남양계전,민강기,분석,646383000,87.76,87.991,-0.2119 (99.7881),,2024/01/25 08:58:35,
23,-5,2158148186,시스텍전기통신 주식회사,전진우,분석,646338680,87.753,87.985,-0.2187 (99.7813),,2024/01/24 16:39:12,
24,-6,2298119166,(주)삼영기업,금동흠,분석,646296320,87.747,87.979,-0.2252 (99.7748),,2024/01/24 14:44:13,
25,-7,1108146831,경광테크(주),김경숙,분석,646294373,87.747,87.979,-0.2255 (99.7745),,2024/01/25 11:24:03,
26,-8,4068164647,주식회사 명성인더스트리,김나윤,분석,646283200,87.746,87.977,-0.2273 (99.7727),,2024/01/24 09:10:32,
27,-9,1058663420,(주)엠비에스엔지니어링,강형주,분석,646275460,87.744,87.976,-0.2285 (99.7715),,2024/01/22 10:34:04,
28,-10,1068146133,(주)케이씨이,조정휘,분석,646238666,87.739,87.971,-0.2341 (99.7659),,2024/01/22 15:31:49,
29,-11,6388700617,주식회사 민이엔지,전제호,분석,646229210,87.738,87.97,-0.2356 (99.7644),,2024/01/23 13:22:04,
30,-12,2068611657,(주)평해기전,정희영,분석,646218065,87.736,87.969,-0.2373 (99.7627),,2024/01/24 11:13:26,
31,-13,4028614887,주식회사 한우리이앤씨,김춘걸,분석,646214000,87.736,87.968,-0.2380 (99.762),,2024/01/24 09:50:44,
32,-14,1118124994,오리엔트주식회사,이경호,분석,646188789,87.732,87.965,-0.2418 (99.7582),,2024/01/24 09:07:16,
33,-15,5188601557,주식회사 한국전기공사,최은하,분석,646157049,87.728,87.96,-0.2467 (99.7533),,2024/01/24 21:08:35,
34,-16,4108633207,(유)대원엔지니어링,박윤규,분석,646141245,87.726,87.958,-0.2492 (99.7508),,2024/01/23 15:30:55,
35,-17,2068617141,(주)텔코아,황민석,분석,646119480,87.722,87.955,-0.2525 (99.7475),,2024/01/23 17:08:05,
36,-18,1078712472,(주)내일에너지,백중철,분석,646078130,87.717,87.95,-0.2589 (99.7411),,2024/01/24 14:34:55,
37,-19,1058620396,유명전설(주),이철규,분석,646071132,87.716,87.949,-0.2600 (99.74),,2024/01/23 14:43:39,
38,-20,1188120761,(주)동화이엔씨,이재원,분석,646063773,87.715,87.948,-0.2611 (99.7389),,2024/01/22 15:46:36,
39,-21,1088114068,(주)대인정보통신,유재호,분석,646053400,87.713,87.946,-0.2628 (99.7372),,2024/01/24 09:32:19,
40,-22,2118193336,(주)국제비엠에스,윤도선,분석,646031812,87.71,87.943,-0.2661 (99.7339),,2024/01/23 15:13:01,
41,-23,2121827567,광성전기,박종덕,분석,646030523,87.71,87.943,-0.2663 (99.7337),,2024/01/24 08:24:50,
42,-24,1108153972,대부하우징주식회사,황기전,분석,646011304,87.707,87.94,-0.2692 (99.7308),,2024/01/25 09:29:08,
43,-25,2068111458,수암전기(주),서갑영,분석,645993783,87.705,87.938,-0.2720 (99.728),,2024/01/25 08:47:52,
44,-26,1178152009,동아신호 주식회사,최종수,분석,645970000,87.701,87.935,-0.2756 (99.7244),,2024/01/24 11:47:47,
45,-27,6118802072,주식회사 태민전력,김홍구,분석,645967905,87.701,87.935,-0.2759 (99.7241),,2024/01/25 12:40:10,
46,-28,2048129194,위성이앤씨(주),이양숙,분석,645943506,87.698,87.931,-0.2797 (99.7203),,2024/01/22 14:32:35,
47,-29,2148705513,주식회사 케이이에스 전기공사,강성진,분석,645927744,87.695,87.929,-0.2821 (99.7179),,2024/01/24 09:45:53,
48,-30,1748701621,(주)신원이앤씨,임태훈,분석,645927096,87.695,87.929,-0.2822 (99.7178),,2024/01/24 16:01:04,
49,-31,2068631916,주식회사 세화에스엠,김유상,분석,645923580,87.695,87.929,-0.2828 (99.7172),,2024/01/24 17:35:22,
0,-32,2158775797,주식회사 주원이에프아이,김종일,분석,645901840,87.692,87.926,-0.2861 (99.7139),,2024/01/23 09:59:02,
1,-33,1058162163,주식회사대한종합산전,이섭,분석,645900000,87.691,87.925,-0.2864 (99.7136),,2024/01/22 18:06:41,
2,-34,2138800230,주식회사 성민전기통신,홍종애,분석,645897947,87.691,87.925,-0.2867 (99.7133),,2024/01/23 20:40:56,
3,-35,1068128718,서광통신 주식회사,최경석,분석,645885495,87.689,87.923,-0.2887 (99.7113),,2024/01/24 16:06:07,
4,-36,4108607408,주식회사 천운정보통신,김복중,분석,645880200,87.689,87.923,-0.2895 (99.7105),,2024/01/23 09:11:15,
5,-37,1788800164,주식회사 세화전기,고욱,분석,645836420,87.682,87.917,-0.2962 (99.7038),,2024/01/23 14:34:57,
6,-38,8878700825,주식회사 수인정보통신,김옥환,분석,645797890,87.677,87.911,-0.3022 (99.6978),,2024/01/24 21:31:57,
7,-39,2108118504,보성전기산업(주),강명구,분석,645790400,87.676,87.91,-0.3034 (99.6966),,2024/01/18 09:05:47,
8,-40,2098103603,신유전기(주),황숙자,분석,645784073,87.675,87.91,-0.3043 (99.6957),,2024/01/25 07:26:36,
9,-41,2198114499,(주)이레에너지테크,강래원,분석,645775500,87.674,87.908,-0.3057 (99.6943),,2024/01/24 10:29:32,
10,-42,2148619102,유석산업(주),최현호,분석,645747105,87.67,87.904,-0.3100 (99.69),,2024/01/25 10:23:24,
11,-43,2048137258,대신엔에스(주),정동진,분석,645739890,87.669,87.904,-0.3112 (99.6888),,2024/01/23 10:32:51,
12,-44,1108185552,한양이이씨 주식회사,문주환,분석,645735361,87.668,87.903,-0.3118 (99.6882),,2024/01/24 10:13:02,
13,-45,1098160605,프로전력(주),나미숙,분석,645729530,87.667,87.902,-0.3127 (99.6873),,2024/01/24 17:32:16,
14,-46,6568101214,주식회사 에스엠제이이앤씨,신명숙,분석,645699000,87.663,87.898,-0.3175 (99.6825),,2024/01/23 15:02:28,
15,-47,8128802447,주식회사 한국파워텍,유민석,분석,645697791,87.663,87.898,-0.3176 (99.6824),,2024/01/24 20:38:47,
16,-48,2118145912,영남스퀘어 주식회사,장한원,분석,645691500,87.662,87.897,-0.3186 (99.6814),,2024/01/23 08:31:58,
17,-49,1054166085,동명전설,최오렬,분석,645667440,87.659,87.894,-0.3223 (99.6777),,2024/01/24 21:51:45,
18,-50,2218149045,주식회사 디에이치파워텍,김대흥,분석,645649209,87.656,87.891,-0.3251 (99.6749),,2024/01/24 15:46:38,
19,-51,1088195004,(주)한양케이앤이,김홍인,분석,645643135,87.655,87.89,-0.3261 (99.6739),,2024/01/24 15:26:44,
20,-52,2118730901,주식회사 우리이엔이,주남석,분석,645634960,87.654,87.889,-0.3273 (99.6727),,2024/01/23 11:07:10,
21,-53,4028187667,주식회사 용현전력,이예슬,분석,645572774,87.645,87.881,-0.3369 (99.6631),,2024/01/23 17:20:01,
22,-54,2158197106,주식회사통해,전용일,분석,645556191,87.643,87.878,-0.3395 (99.6605),,2024/01/24 08:57:09,
23,-55,3178147523,도너개발 주식회사,최민경,분석,645550750,87.642,87.878,-0.3403 (99.6597),,2024/01/25 11:46:00,
24,-56,2158601172,(주)다산전기건설공사,백선자,분석,645520300,87.638,87.874,-0.3451 (99.6549),,2024/01/24 10:45:20,
25,-57,1208117027,세안이엔씨 주식회사,이은상,분석,645515124,87.637,87.873,-0.3458 (99.6542),,2024/01/25 08:58:09,
26,-58,5338700141,주식회사 인프라엔이,정우진,분석,645510998,87.637,87.872,-0.3465 (99.6535),,2024/01/23 16:41:54,
27,-59,2018603701,소성정보기술 주식회사,김금남,분석,645496093,87.634,87.87,-0.3488 (99.6512),,2024/01/24 09:05:30,
28,-60,1188600737,상림일렉스 주식회사,이명희,분석,645484210,87.633,87.869,-0.3506 (99.6494),,2024/01/24 14:48:08,
29,-61,2148673033,대일전기통신(주),김종엽,분석,645471730,87.631,87.867,-0.3525 (99.6475),,2024/01/22 12:46:02,
30,-62,1118126196,(주)광성통신,김성철,분석,645446949,87.628,87.864,-0.3564 (99.6436),,2024/01/24 13:49:58,
31,-63,1198687606,주식회사 수호건설,박용수,분석,645445166,87.627,87.863,-0.3566 (99.6434),,2024/01/22 10:32:08,
32,-64,1188111020,주식회사 한영씨앤이,박대서,분석,645439280,87.626,87.863,-0.3576 (99.6424),,2024/01/23 08:53:20,
33,-65,1108172440,주식회사 다보파워코리아,강희철,분석,645374561,87.617,87.854,-0.3675 (99.6325),,2024/01/24 16:35:10,
34,-66,2128155922,(주)티에스엠이앤씨,박원택,분석,645330513,87.611,87.848,-0.3743 (99.6257),,2024/01/24 14:06:56,
35,-67,1088172753,이평전력 (주),김성진,분석,645318860,87.609,87.846,-0.3761 (99.6239),,2024/01/22 12:06:11,
36,-68,8148102202,주식회사디앤에스전력,한준희,분석,645290550,87.605,87.842,-0.3805 (99.6195),,2024/01/25 07:25:35,
37,-69,2068625393,주식회사 성림전설,박상동,분석,645206145,87.594,87.831,-0.3935 (99.6065),,2024/01/19 10:33:28,
38,-70,2938802044,주식회사 경당이앤씨,민철배,분석,645193225,87.592,87.829,-0.3955 (99.6045),,2024/01/25 09:14:22,
39,-71,1108173342,주식회사 타빅스,권인순,분석,645190597,87.591,87.829,-0.3960 (99.604),,2024/01/22 19:59:41,
40,-72,2308107447,주식회사 대운전력개발,김수미,분석,645068820,87.574,87.812,-0.4147 (99.5853),,2024/01/23 15:20:18,
41,-73,1128141680,주식회사엠케이씨티,장재철,분석,645067400,87.574,87.812,-0.4150 (99.585),,2024/01/24 15:51:52,
42,-74,1138175669,(주)용상전기통신,권혁기,분석,645055218,87.572,87.81,-0.4168 (99.5832),,2024/01/23 12:45:18,
43,-75,1278623826,우리전력주식회사,서채훈,분석,645039956,87.57,87.808,-0.4192 (99.5808),,2024/01/24 13:16:47,
44,-76,2098147159,(주)동방에스앤에스,정재훈,분석,644988434,87.563,87.801,-0.4272 (99.5728),,2024/01/24 17:23:19,
45,-77,2158168163,블루엔이(주),정홍채,분석,644974896,87.561,87.799,-0.4292 (99.5708),,2024/01/22 15:20:38,
46,-78,1418111511,주식회사 삼주전설,이종호,분석,644933440,87.555,87.794,-0.4356 (99.5644),,2024/01/25 09:03:49,
47,-79,1348650447,미래하이텍 주식회사,최용석,분석,644928258,87.554,87.793,-0.4364 (99.5636),,2024/01/24 16:50:34,
48,-80,1058811004,(주)티에스원,김영희,분석,644910120,87.552,87.791,-0.4392 (99.5608),,2024/01/23 14:43:20,
49,-81,1058649262,주식회사 노하우전기통신,임창배,분석,644845345,87.543,87.782,-0.4492 (99.5508),,2024/01/23 09:40:13,
0,-82,1198157048,베스트전력주식회사,나종일,분석,644825920,87.54,87.779,-0.4522 (99.5478),,2024/01/23 15:45:07,
1,-83,1178108842,풍성건설(주),임명환,분석,644817900,87.539,87.778,-0.4535 (99.5465),,2024/01/25 08:39:53,
2,-84,2158749469,(주)더블유에프텍,이영길,분석,644782513,87.534,87.773,-0.4589 (99.5411),,2024/01/24 11:19:35,
3,-85,1108616458,주식회사 백광이엔씨,이돈식,분석,644780569,87.533,87.773,-0.4592 (99.5408),,2024/01/24 09:33:31,
4,-86,2188117964,(주)투윈스컴,박성하,분석,644779824,87.533,87.773,-0.4594 (99.5406),,2024/01/24 12:44:58,
5,-87,6988700230,주식회사 스마트이엔씨,전유선,분석,644763700,87.531,87.771,-0.4619 (99.5381),,2024/01/24 19:11:06,
6,-88,2188102928,한광전기공업 주식회사,유기현,분석,644715794,87.524,87.764,-0.4692 (99.5308),,2024/01/25 09:06:53,
7,-89,1078140904,대월기전(주),김승연,분석,644694290,87.521,87.761,-0.4726 (99.5274),,2024/01/23 17:31:08,
8,-90,2108127978,성화전설 주식회사,서남석,분석,644657625,87.516,87.756,-0.4782 (99.5218),,2024/01/25 11:16:23,
9,-91,7128701175,주식회사 미미엔지니어링,김진희,분석,644651018,87.515,87.755,-0.4792 (99.5208),,2024/01/23 14:51:24,
10,-92,2208660663,주식회사 데이타렉스,김정국,분석,644643200,87.514,87.754,-0.4805 (99.5195),,2024/01/24 16:19:42,
11,-93,2148667152,주식회사 어니언소프트웨어,조창희,분석,644625756,87.512,87.752,-0.4831 (99.5169),,2024/01/23 17:24:25,
12,-94,1078711298,청우기전주식회사,오병호,분석,644625756,87.512,87.752,-0.4831 (99.5169),,2024/01/24 13:37:01,
13,-95,1138670029,주식회사 아코이엔씨,백현기,분석,644586243,87.506,87.746,-0.4892 (99.5108),,2024/01/24 12:52:12,
14,-96,2158607273,(주)미주전통,장원식,분석,644496653,87.493,87.734,-0.5031 (99.4969),,2024/01/24 20:52:07,
15,-97,1130294924,오로라전기,김전국,분석,644469030,87.49,87.731,-0.5073 (99.4927),,2024/01/25 08:34:22,
16,-98,1298104500,주식회사 상지카일룸,김영신,분석,644458630,87.488,87.729,-0.5090 (99.491),,2024/01/24 10:07:07,
17,-99,2018634956,주식회사 신성전자통신,전용한,분석,644401690,87.48,87.721,-0.5177 (99.4823),,2024/01/22 18:32:47,
18,-100,1098614988,이창전력(주),이석용,분석,644357580,87.474,87.715,-0.5246 (99.4754),,2024/01/23 18:59:43,
19,-101,1148101670,금광전설(주),박종갑,분석,644349812,87.473,87.714,-0.5257 (99.4743),,2024/01/24 15:13:02,
20,-102,1108175641,동수전설(주),이기은,분석,644339450,87.471,87.713,-0.5273 (99.4727),,2024/01/23 14:57:16,
21,-103,1178143816,남영전설 주식회사,오영대,분석,644278576,87.463,87.705,-0.5367 (99.4633),,2024/01/25 11:19:08,
22,-104,3648701597,주식회사 대영이엘에스,황민철,분석,644268195,87.461,87.703,-0.5383 (99.4617),,2024/01/25 10:57:32,
