공고번호,기초금액,A값,투찰률(%),참여업체수,예가범위,공고구분표시,공고제목,발주처(수요기관),지역제한
20171201516-00,438179500.0,0.0,86.745,1938.0,+2% ~ -2%,,경정장 CCTV시스템 고도화 정보통신공사,서울올림픽기념국민체육진흥공단,서울/경기
20171200255-00,42464723.0,0.0,87.745,961.0,+2% ~ -2%,기,GKL 강남 2호점 직장 어린이집 설치공사(통신),그랜드코리아레저(주),서울
20171139454-00,423546200.0,0.0,86.745,920.0,+2% ~ -2%,,올림픽문화센터 리모델링 통신공사,서울올림픽기념국민체육진흥공단,서울
20171138290-00,930394000.0,0.0,86.745,1047.0,+2% ~ -2%,기/의무,서울남부출입국관리사무소 신축 통신공사,서울지방조달청/법무부,전국/서울
20171138036-00,113046000.0,0.0,87.745,943.0,+2% ~ -2%,기/협정,17년 팁스타운 BI 공간조성공사(통신),서울지방조달청/사단법인,서울
20171137551-00,114054000.0,0.0,87.745,128.0,+2% ~ -2%,,서울대학교 행정대학원 강의실 영상회의시스템 구축 및 환경개선 공사,서울대학교,서울
20171136538-00,95727000.0,0.0,87.745,959.0,+2% ~ -2%,기,서울대학교 자연과학관1(18동) 4층 환경개선 통신공사 (긴급공고),서울대학교,서울
20171134096-00,574300000.0,0.0,86.745,910.0,+2% ~ -2%,기,C연구센터 신축 통신공사,국방과학연구소,서울
20171132256-01,411840000.0,0.0,86.745,736.0,+2% ~ -2%,정,한국환경산업기술원 연수동 리모델링 공사(보통신) (긴급공고) (공고),한국환경산업기술원,서울
20171130901-00,120000000.0,0.0,87.995,133.0,+2% ~ -2%,물품,대강당 음향 · 영상장비 납품 및 설치,국민건강보험공단,서울/인천/경기
20171121242-00,71392000.0,0.0,87.745,1023.0,+2% ~ -2%,기/협정,국립민속박물관 내진보강 공사(통신),서울지방조달청/문화체육관광부,서울
20171114095-00,292815000.0,0.0,87.745,954.0,+2% ~ -2%,기/협정,국립극장 식당이전 및 임시사무실 조성 정보통신공사,서울지방조달청/문화체육관광부,서울
20171102696-00,1577268000.0,0.0,86.745,855.0,+2% ~ -2%,기/의무,한국과학기술연구원 본관 리모델링공사(통신),서울지방조달청/한국과학기술연구원,전국/서울
20171111711-00,15000000.0,0.0,87.745,710.0,+2% ~ -2%,,국립민속박물관 정보보안 강화를 위한 네트워크 공사,문화체육관광부,서울
20171115402-00,17023500.0,0.0,87.745,766.0,+2% ~ -2%,기,서대문경찰서 홍은2파출소 신축공사(통신),경찰청,서울
E011711923,38867324.0,0.0,87.745,695.0,+2% ~ -2%,,154kV 왕십리S/S 보안감시시스템 교체공사,한국전력공사,서울
E011711858,87874600.0,0.0,87.745,757.0,+2% ~ -2%,,순화-서소문등 15구간 소형광단국장치 교체공사,한국전력공사,서울
20171029255-01,31730000.0,0.0,87.745,839.0,+2% ~ -2%,기/정,국립고궁박물관 노후 CCTV성능개선공사 (정정공고),문화재청,서울
20171016586-00,399231000.0,0.0,86.745,891.0,+2% ~ -2%,기/협정,헌법재판소 청사증축 통신공사,서울지방조달청/헌법재판소,서울
20171027916-00,15400000.0,0.0,87.745,733.0,+2% ~ -2%,기,코레일유통 록관 구축 통신공사,코레일유통,서울
E011711207,46165900.0,0.0,87.745,652.0,+2% ~ -2%,,2017년 하반기 계통보호전송장치 교체공사(전자제어부),한국전력공사,서울
E011711087,109649100.0,0.0,87.745,720.0,+2% ~ -2%,,영등포전력지사 무인변전소 보안시스템 교체공사(철거포함),한국전력공사,서울
E011710971,45909600.0,0.0,87.745,707.0,+2% ~ -2%,,아현S/S 보안감시시스템 교체공사,한국전력공사,서울
E011710869,133571466.0,0.0,87.745,730.0,+2% ~ -2%,,강북성북지사 스마트오피스 ICT설비 시범구축 공사,한국전력공사,서울
20170928653-00,262269000.0,0.0,87.745,893.0,+2% ~ -2%,기/협정,국회도서관 전관방송설비 교체공사,서울지방조달청/국회,서울
20170914290-00,1163770000.0,0.0,86.745,910.0,+2% ~ -2%,기/의무,광역수사대 청사 신축 통신공사,서울지방조달청/경찰청,전국/서울
20170928617-00,79169000.0,0.0,87.745,991.0,+2% ~ -2%,,평창동계올림픽 도핑콘트롤센터 보안공사,한국과학기술연구원,서울
20170805034-00,0.0,0.0,-,624.0,+2% ~ -2%,기/의무,종합의료복합단지(2단계) 통신공사,한국자산관리공사,전국/서울
20170916361-00,200227500.0,0.0,87.745,923.0,+2% ~ -2%,,김포공항 동력동 울타리 레이저스캐너 설치 및 기타 통신공사,한국공항공사,서울
20170920014-00,75391000.0,0.0,87.745,1054.0,+2% ~ -2%,기/협정,생활관A동 리모델링 통신공사,서울지방조달청/통일부,서울
20170917835-00,40271000.0,0.0,87.745,436.0,+2% ~ -2%,기,위치추적 관제시스템 구축공사,법무부,서울
20170906188-00,26493000.0,0.0,87.745,872.0,+2% ~ -2%,기,한국인터넷진흥원 서울청사 통신 공사,한국인터넷진흥원,서울
20170907007-01,42713000.0,0.0,87.745,593.0,+2% ~ -2%,정,울타리 비 및 통제식 회전문 설치 통신공사 (공고),행정안전부,서울/경기
20170900288-00,762195000.0,0.0,86.745,889.0,+2% ~ -2%,기/협정,경찰특공대 신축 통신공사,서울지방조달청/경찰청,서울
20170828899-00,69995000.0,0.0,87.745,974.0,+2% ~ -2%,기/협정,기상박물관 건립을 위한 대수선공사(통신분야),서울지방조달청/기상청,서울
20170824995-00,49909200.0,0.0,87.745,940.0,+2% ~ -2%,기,김포공항 화물터미널 승강 설치 정보통신공사,한국공항공사,서울
20170827521-00,20286000.0,0.0,87.745,797.0,+2% ~ -2%,기,은평경찰서 불광지구대 대수선 통신공사,경찰청,서울
20170822427-00,27500000.0,0.0,87.745,888.0,+2% ~ -2%,,여의도우체국 영업분야(임시청사) 이전공사 통신,과학기술정보통신부,서울
20170812078-00,84961000.0,0.0,87.745,982.0,+2% ~ -2%,,도봉경찰서 수사형사부서 및 유치장 환경개선 통신공사,경찰청,서울
20170728567-00,821461000.0,0.0,86.745,1016.0,+2% ~ -2%,기/의무,국립항공박물관 통신공사,서울지방조달청/국토교통부,전국/서울
20170809236-00,73700000.0,0.0,87.745,953.0,+2% ~ -2%,기,사직단 관리사무소 건립공사(통신) (긴급공고),문화재청,서울
20170803766-00,91590000.0,0.0,87.745,2176.0,+2% ~ -2%,기,노후 통신 케이블 재 포설 공사,한국교통안전공단,서울/인천/경기
20170802860-00,44550000.0,0.0,87.745,930.0,+2% ~ -2%,기,한국체육대학교 소액수의 견적제출 실내수영장 리모델링 통신공사(긴급) (긴급공고),한국체육대학교,서울
20170727770-00,206000000.0,0.0,85,370.0,+2% ~ -2%,기/현필,자료동 구조보강 및 리모델링 통신공사,한국방송공사,서울/인천/경기
20170717716-01,53086000.0,0.0,87.745,1015.0,+2% ~ -2%,정,중대부초 체육관 및 급식시설 증축 통신공사 소액수의 견적제출 (공고),서울특별시동작교육청,서울
20170711266-00,824799000.0,0.0,86.745,1033.0,+2% ~ -2%,기/의무,서울남부지방검찰청 별관 증축 통신공사,서울지방조달청/법무부,전국/서울
20170714417-00,136400000.0,0.0,87.745,953.0,+2% ~ -2%,기,서울캠퍼스 옥외 CCTV 설치공사,한국과학기술원,서울
20170716057-00,51304000.0,0.0,87.745,149.0,+2% ~ -2%,,(긴급) 송곡고등학교 방송시설 개선공사 입찰 공고 (긴급공고),서울특별시교육청,서울
20170715164-00,74240000.0,0.0,87.745,1021.0,+2% ~ -2%,,여의도우체국 우편물류 및 지원분야 이전공사(2차) 통신,과학기술정보통신부,서울
20170716580-00,21940000.0,0.0,87.745,790.0,+2% ~ -2%,기,김포공항 종합상황실 개선 정보통신공사,한국공항공사,서울
20170701029-00,88809000.0,0.0,87.745,939.0,+2% ~ -2%,기/협정,"서울 와이즈타워(2,3층) 사무환경 조성공사(통신)",서울지방조달청/한국주택금융공사,서울
20170707728-00,39830000.0,0.0,87.745,975.0,+2% ~ -2%,,경신고 본관동 및 도서관동 통신공사 (긴급공고),서울특별시교육청,서울
20170621730-00,1080158000.0,0.0,86.745,913.0,+2% ~ -2%,기/의무,창조융합연구동 신축 통신공사,서울지방조달청/서울과학기술대학교,전국/서울
20170703700-00,60060000.0,0.0,87.745,980.0,+2% ~ -2%,,정부서울청사 통신실 장비 재배치공사,행정안전부,서울
1701624-00,144027000.0,0.0,87.745,852.0,+2% ~ -2%,,서울 공공리모델링 임대주택 정보통신공사,한국토지주택공사,서울
20170628481-00,64698000.0,0.0,87.745,886.0,+2% ~ -2%,기/협정,무인교통단속 장비 이전 설치,서울지방조달청/경찰청,서울
20170625525-00,84498218.0,0.0,87.745,1029.0,+2% ~ -2%,,대일관광고등학교 강당 겸 체육관 증축 통신공사(긴급) (긴급공고),서울특별시교육청,서울
20170618996-00,285109000.0,0.0,87.745,950.0,+2% ~ -2%,,서울대학교 사범대학 부설중학교 체육관 재건축 통신공사 (긴급공고),서울대학교,서울
20170532302-00,425113000.0,0.0,86.745,923.0,+2% ~ -2%,기/협정,서울북부광역등기소 청사 신축 공사(통신),서울지방조달청/대법원,서울
20170531346-00,420566000.0,0.0,86.745,925.0,+2% ~ -2%,기/협정,서울서부광역등기소 신축 통신공사,서울지방조달청/대법원,서울
20170526014-00,324945500.0,0.0,87.745,923.0,+2% ~ -2%,기,김포공항 주차장 지역 영상감시장치(CCTV) 설치공사,한국공항공사,서울
20170526009-00,47000000.0,0.0,85,959.0,+2% ~ -2%,기,"(긴급) KBS 본,신관 사무실 및 창고 조성공사(통신)",한국방송공사,서울
20170516020-00,39900000.0,0.0,87.745,968.0,+2% ~ -2%,,여의도우체국 우편물류 및 지원분야 이전공사(1차) 통신,과학기술정보통신부,서울
20170500525-00,2029840000.0,0.0,86.745,817.0,+2% ~ -2%,기/의무,서부경찰서 청사 신축공사(통신),서울지방조달청/경찰청,전국/서울
20170439909-00,73281000.0,0.0,87.745,1008.0,+2% ~ -2%,기/협정,경찰병원 병동(72) 통신시설개선공사,서울지방조달청/경찰청,서울
20170430666-01,97593000.0,0.0,87.745,948.0,+2% ~ -2%,기/정,국가지정 음압입원치료병상 설치공사(통신공사) (정정공고),의료법인한전의료재단한일병원,서울
20170431297-01,79662000.0,0.0,87.745,1010.0,+2% ~ -2%,정,이화여대병설미디어고 체육관 증축 보통신 공사 (공고),서울특별시교육청,서울
20170416313-00,135349000.0,0.0,87.745,927.0,+2% ~ -2%,기/협정,서울중앙지검 구치감 증축 통신공사,서울지방조달청/법무부,서울
20170407592-00,58745098.0,0.0,87.745,951.0,+2% ~ -2%,,서울대학교병원 권역응급의료센터 인증 및 재배치 공사[통신],서울대학교병원,서울
20170405459-00,1034323000.0,0.0,86.745,967.0,+2% ~ -2%,기/의무,김포공항 외곽울타리 개량에 따른 장력시스템 교체공사,한국공항공사,전국/서울
20170405284-00,80000000.0,0.0,87.745,541.0,+2% ~ -2%,기,EBS 디지털통합사옥 네트워크 케이블 포설 공사,한국교육방송공사,서울/인천/경기
20170348585-05,11000000.0,0.0,88,597.0,+2% ~ -2%,정,국립민속박물관 CCTV 시스템 설치공사 (공고),문화체육관광부,서울
20170336646-02,186109000.0,0.0,87.745,966.0,+2% ~ -2%,기/정/협정,서울대학교 약학관4(141동) 리모델링 공사(통신) (정정공고),서울대학교,서울
20170329459-00,19400000.0,0.0,88,105.0,+2% ~ -2%,기,2017년 서울청 상황지휘센터 CCTV유지보수 용역,경찰청,서울/인천/경기
20170325111-00,197744000.0,0.0,87.745,1697.0,+2% ~ -2%,기/협정,2017년 네트워크 선로 정비공사,산림청,서울/경기
20170307727-00,167120000.0,0.0,87.495,1547.0,+2% ~ -2%,,수협중앙회 인천공판장 위판장 재건축 통신공사,수협중앙회,서울/인천/경기
20170315053-00,82390000.0,0.0,87.745,972.0,+2% ~ -2%,,환일고등학교(환일중학교) 다목적실 증축 통신 공사 (긴급공고),서울특별시교육청,서울
20170300843-00,187962000.0,0.0,87.745,903.0,+2% ~ -2%,기/협정,00시설 신축 통신공사,서울지방조달청/대통령경호실,서울
20170301609-00,642407950.0,0.0,86.745,312.0,+2% ~ -2%,,GKL 강남 코엑스점 리모델링에 따른 정보통신공사,그랜드코리아레저(주),서울
20170245366-00,261390000.0,0.0,87.745,963.0,+2% ~ -2%,기,김포공항 오수처리시설 신축 정보통신공사,한국공항공사,서울
20170228702-00,403130000.0,0.0,86.745,894.0,+2% ~ -2%,기/협정,한국방송통신대학교 열린관 개보수공사(통신),서울지방조달청/한국방송통신대학교,서울
20170230292-00,24000000.0,0.0,87.745,774.0,+2% ~ -2%,,서울용산우체국 키폰주장치 교체공사,과학기술정보통신부,서울
20170232581-00,33660000.0,0.0,87.745,836.0,+2% ~ -2%,기,한세사이버보안고등학교 지하강당 통신공사,서울특별시교육청,서울
20170219698-00,181000000.0,0.0,87.745,958.0,+2% ~ -2%,기,서울동부혈액원 리모델링공사(통신),대한적십자사,서울
20170206869-00,319250000.0,0.0,86.745,902.0,+2% ~ -2%,기/협정,한국국토정보공사 서울지역본부 사옥 리모델링공사(통신),서울지방조달청/한국국토정보공사,서울
20170213322-00,71862750.0,0.0,87.745,1029.0,+2% ~ -2%,기,한국방송통신대학교 창조관 내부개선 통신공사,한국방송통신대학교,서울
20170203371-00,51228000.0,0.0,87.745,985.0,+2% ~ -2%,,잠실여고(일신여중) 다목적동 증축 통신공사 (긴급공고),서울특별시교육청,서울
20170114458-00,13750000.0,0.0,87.745,1248.0,+2% ~ -2%,,2016년 대림대학교 전산실습실 환경개선공사(3개소)-통신공사 (긴급공고),대림대학교,서울/인천/경기
20170114449-00,16170000.0,0.0,87.745,1210.0,+2% ~ -2%,,2016년 대림대학교 퇴계관 5층 스마트스테이션Ⅱ 구축공사-통신공사 (긴급공고),대림대학교,서울/인천/경기
20170105849-00,132787110.0,0.0,87.745,970.0,+2% ~ -2%,기,GKL 강남 코엑스점 1~4층 리모델링공사(통신),그랜드코리아레저(주),서울
20170102369-00,1048677000.0,0.0,86.745,963.0,+2% ~ -2%,기/의무,KIDA 기품원 군사연구시설 증축공사(통신분야),서울지방조달청/국방부,전국/서울
20170101543-00,139562000.0,0.0,87.745,940.0,+2% ~ -2%,기/협정,제2교육관 리모델링 통신공사,서울지방조달청/통일부,서울
20161235822-00,1079001000.0,0.0,86.745,946.0,+2% ~ -2%,기/의무,나라키움 중부세무서 개발사업 정보통신공사,한국자산관리공사,전국/서울
20161235847-00,18480000.0,0.0,87.745,694.0,+2% ~ -2%,기,경복궁 흥복전권역 복원공사(통신),문화재청,서울
1804009-00,1271342000.0,0.0,86.745,907.0,+2% ~ -2%,기/의무,"서울휘경, 서울잠실 행복주택 정보통신공사 1공구(행복240호)",한국토지주택공사,전국/서울
20181129768-00,199893000.0,0.0,87.745,923.0,+2% ~ -2%,기/협정,장애인 건강검진센터 건립사업 통신공사,서울지방조달청/보건복지부,서울
20181207363-00,118110000.0,0.0,87.745,927.0,+2% ~ -2%,기,CKL획센터(대학로) 원상복구 및 개보수 공사(통신),한국콘텐츠진흥원,서울
20181214967-00,90640000.0,0.0,87.745,940.0,+2% ~ -2%,,숭실고등학교 급식실 및 체육관 증축공사 통신 (장기계속 총차) 입찰공고문(긴급) (긴급공고),서울특별시교육청,서울
20181208103-00,134136610.0,0.0,87.745,2057.0,+2% ~ -2%,,수원법원종합청사 전자법정 랜케이블 구축 1차 사업,대법원,서울/경기
20181208293-00,7150000.0,0.0,87.745,343.0,+2% ~ -2%,기,미림여자정보과학고등학교 관리동 소프트웨어프로젝트실 외 1실 리모델링 공사(통신) (긴급공고),서울특별시교육청,서울
20181207260-00,55430000.0,0.0,87.745,1006.0,+2% ~ -2%,기,해성여자고등학교 신관동 특별교실 증축 통신공사(긴급) (긴급공고),서울특별시교육청해성여자고등학교,서울
20181204110-00,161600000.0,0.0,87.745,934.0,+2% ~ -2%,연기,도서관 실내 인테리어 통신공사 입찰 공고,서울과학기술대학교,서울
20181141099-00,295000000.0,0.0,87.745,957.0,+2% ~ -2%,기/협정,본관 통신케이블 교체공사,국회,서울
20181139591-01,129656000.0,0.0,87.745,962.0,+2% ~ -2%,정,[긴급] 세그루패션디자인고 다목적강당겸 체육관증축 [보통신]공사 입찰공고 (긴급공고) (공고),서울특별시교육청세그루패션디자인고등학교,서울
20181140322-00,250497000.0,0.0,87.745,944.0,+2% ~ -2%,기,배명고등학교 방송시설 개선공사 (긴급공고),서울특별시교육청,서울
20181202256-00,30522000.0,0.0,87.745,830.0,+2% ~ -2%,기,한국예술종합학교 LED 전광판 설치 통신공사 (긴급공고),문화체육관광부,서울
20181138754-00,227784000.0,0.0,87.745,2227.0,+2% ~ -2%,기,분당선 이매역 등 8역 역무자동화설비 이설 타공사,한국철도공사,서울/경기/충남
20181117837-00,161664000.0,0.0,87.745,2113.0,+2% ~ -2%,기/연기,일산선 삼송역등 14개소 집수정 개량에 따른 통신설비 신설공사,한국철도공사,서울/경기
20181117833-00,591899000.0,0.0,86.745,908.0,+2% ~ -2%,기/연기,경부선 영등포역 영상감시설비 개량공사,한국철도공사,서울
20181117602-00,59645000.0,0.0,87.745,925.0,+2% ~ -2%,기/협정,5.18민주화운동 진상규명조사위원회 사무실 조성공사(통신 및 네트워크시설 구축),서울지방조달청/국방부,서울
20181111728-00,99345000.0,0.0,87.745,2004.0,+2% ~ -2%,기,경원선 옥수~의정부간 통신설비 공용접지 연결 타공사,한국철도공사,서울/경기
20181111953-01,116176000.0,0.0,87.945,290.0,+2% ~ -2%,물품/정,강남지점 리모델링공사 관급자재(CCTV) 구매,서울올림픽기념국민체육진흥공단,서울/경기
20181109406-00,11640468.0,0.0,87.745,659.0,+2% ~ -2%,기,김포공항 청년창업육성센터 정보통신공사,한국공항공사,서울
20181106796-03,174183000.0,0.0,87.745,978.0,+2% ~ -2%,정,"2018년도 서울여자상업고등학교 교사동(석포관,강석관)방송시설개선공사(통신)긴급공고 (공고)",서울특별시교육청,서울
20181104984-00,100908000.0,0.0,87.745,2019.0,+2% ~ -2%,기,경부선 회역 등 14개소 PSD 승무원감시용 모니터 교체공사,한국철도공사,서울/경기
20181001056-00,6460882000.0,0.0,85.495,650.0,+2% ~ -2%,기/의무,여의도우체국 건립 정보통신공사,전국/서울,전국/서울
20181037726-00,597007000.0,0.0,86.745,913.0,+2% ~ -2%,기,서울대학교 약학대학 20동 재건축 통신공사 (긴급공고),서울대학교,서울
20181024281-00,10120000.0,0.0,87.745,1077.0,+2% ~ -2%,기,경복궁 영추문 매수표소 설치공사(통신) (긴급공고),문화재청,서울/경기
20181022028-00,57000000.0,0.0,87.745,1154.0,+2% ~ -2%,,출입통제시스템 개선 공사,국민건강보험공단,서울/인천/경기
20181021373-00,11404000.0,0.0,87.745,567.0,+2% ~ -2%,기,한세사이버보안고 도서관 통신공사 (긴급공고),서울특별시교육청,서울
20181021470-00,19370659.0,0.0,87.745,800.0,+2% ~ -2%,,김포공항 국제선청사 장애인 화장실 인터컴 설치 및 기타 정보통신공사,한국공항공사,서울
20181000532-00,191465000.0,0.0,87.745,930.0,+2% ~ -2%,기/협정,00청사 통신 인프라 시설보강공사,서울지방조달청/대통령경호처,서울
20181016664-00,43000000.0,0.0,85.0,966.0,+2% ~ -2%,기,본관 1층 서측 사무공간 조성공사(통신),한국방송공사,서울
20181016080-00,188000000.0,0.0,87.745,648.0,+2% ~ -2%,,통신시스템 개선 공사,국민건강보험공단,서울/경기
20181009958-00,182147570.0,0.0,87.745,985.0,+2% ~ -2%,기,관악서 수사부서 등 개선공사(통신),경찰청,서울
20180903989-00,8585760000.0,0.0,85.495,539.0,+2% ~ -2%,기/의무,IBK 기업은행 본점 대수선공사(통신공사),전국/서울,전국/서울
20180907312-01,316488000.0,0.0,87.745,961.0,+2% ~ -2%,기/정/협정,국립극장 지하주차장 건립 통신공사 (정정공고),서울지방조달청/문화체육관광부,서울
20181004091-00,112446990.0,0.0,87.745,908.0,+2% ~ -2%,,예술의전당 서예박물관 중앙감시실 구축(1차) 자동제어설비 이설공사,예술의전당,서울
20181004707-00,18966000.0,0.0,87.745,740.0,+2% ~ -2%,,미림여자고등학교 역사관 증축공사(통신),서울특별시교육청,서울
20181002722-00,119970000.0,0.0,87.745,970.0,+2% ~ -2%,기,GKL 코엑스점 전산실 환경개선 정보통신공사,그랜드코리아레저(주),서울
20180920660-00,341359000.0,0.0,86.745,2094.0,+2% ~ -2%,,강남지점 리모델링 정보통신공사,서울올림픽기념국민체육진흥공단,서울/경기
20180919875-01,100833000.0,0.0,87.745,652.0,+2% ~ -2%,정/협정,서울동부지방검찰청 사이버수사부 환경개선공사(통신) (긴급공고) (정정공고),대검찰청,서울
20180921294-00,42790000.0,0.0,87.745,947.0,+2% ~ -2%,기,서울캠퍼스 제9호관 4층 경영대학 연구센터 설치공사(통신),한국과학기술원,서울
20180916973-00,79829000.0,0.0,87.745,977.0,+2% ~ -2%,,혜성여자고등학교 체육관 및 학생식당 증축공사(통신),서울특별시교육청,서울
20180910501-00,60000000.0,0.0,87.745,919.0,+2% ~ -2%,연기/협정,국회 교육위원회 전체회의실 중계카메라 광복합케이블 구매설치 공사 (긴급공고),국회,서울
20180824952-00,205868000.0,0.0,87.745,945.0,+2% ~ -2%,기/협정,정부서울청사 본관 노후 통신 부대시설 보강공사,서울지방조달청/행정안전부,서울
20180902018-00,39479000.0,0.0,87.745,948.0,+2% ~ -2%,기,신사파출소 신축공사(통신),경찰청,서울
20180824604-00,150931000.0,0.0,87.745,960.0,+2% ~ -2%,기/협정,헌법재판연구원 방송 및 통신설비 공사,서울지방조달청/헌법재판소,서울
20180827541-00,14920000.0,0.0,87.745,755.0,+2% ~ -2%,,한국체육대학교 학생회관 1층 업무공간조성 통신공사,한국체육대학교,서울
1802662-00,608280000.0,0.0,86.745,807.0,+2% ~ -2%,기,서울서부권 건설및매입임대주택 유지보수공사 (정보통신),한국토지주택공사,서울
1802661-00,699952000.0,0.0,86.745,805.0,+2% ~ -2%,기,서울동부권 건설및매입임대주택 유지보수공사 (정보통신),한국토지주택공사,서울
20180821076-01,104960000.0,0.0,87.745,995.0,+2% ~ -2%,기/정,종합교육연구동(220동) 지하2층 강의실(3실) 증축 통신공사 (정정공고),서울대학교,서울
20180816185-00,14624682.0,0.0,87.745,693.0,+2% ~ -2%,,김포공항 지상감시레이더 선로개선공사,한국공항공사,서울
20180819135-00,74369000.0,0.0,87.745,1043.0,+2% ~ -2%,기/협정,국립고궁박물관 전시동 공간조성공사(통신),서울지방조달청/문화재청,서울
20180818875-00,20500000.0,0.0,87.745,839.0,+2% ~ -2%,기,코레일유통(주) 서울본부사옥 3층 용도변경 통신공사,코레일유통,서울
20180817328-00,24443000.0,0.0,87.745,831.0,+2% ~ -2%,,통합감시반 전력제어 및 CCTV 이설 공사,한국체육산업개발주식회사,서울
20180807669-00,206398128.0,0.0,87.745,982.0,+2% ~ -2%,기,김포공항 국제선청사 간선케이블 포설 및 타 정보통신공사,한국공항공사,서울
20180811268-00,41149220.0,0.0,87.745,904.0,+2% ~ -2%,기,경찰청 층간스위치 이설공사,경찰청,서울
20180809711-00,616618000.0,0.0,86.745,742.0,+2% ~ -2%,,주택도시보증공사 여의도 영업부서 이전사무실 인테리어 공사(통신),주택도시보증공사,서울
20180733017-00,29537000.0,0.0,87.745,1917.0,+2% ~ -2%,기,경복궁 업무시설 증축공사(통신),문화재청,서울/경기
20180734021-00,85379411.0,0.0,87.745,1019.0,+2% ~ -2%,,서8병동 재배치 공사(통신),서울대학교병원,서울
20180723551-00,788229000.0,0.0,86.745,1070.0,+2% ~ -2%,기/의무,국립극장 해오름 리모델링 통신공사,서울지방조달청/문화체육관광부,전국/서울
20180729222-00,9939600.0,0.0,87.745,265.0,+2% ~ -2%,특허,"전자서명인증관리센터 UPS, 항온항습기 노후설비 보수공사",한국인터넷진흥원,서울
20180717238-00,58000000.0,0.0,87.745,963.0,+2% ~ -2%,기,CKL업지원센터 창작자지원시설 리모델링 공사(통신),한국콘텐츠진흥원,서울
20180724547-01,72055000.0,0.0,87.745,981.0,+2% ~ -2%,기/정,배화여자고등학교 방송시설개선공사 입찰공고 (긴급공고) (정정공고),서울특별시교육청,서울
20180720415-00,128399842.0,0.0,87.745,965.0,+2% ~ -2%,기,김포공항 재난대책상황실 개선 정보통신공사,한국공항공사,서울
20180722357-00,39363000.0,0.0,87.745,906.0,+2% ~ -2%,,정화여자중학교 다목적강당 방송시스템구축 및 기타공사 (긴급공고),서울특별시동부교육청,서울
20180634972-00,245023000.0,0.0,87.745,936.0,+2% ~ -2%,기/협정,서울동부지사 상설검정장 겸 청사 신축공사(통신),서울지방조달청/한국산업인력공단,서울
20180634568-00,732365000.0,0.0,86.745,893.0,+2% ~ -2%,기/협정,서울남부지방법원 별관 신축 1차 통신공사,서울지방조달청/대법원,서울
20180712852-00,18477900.0,0.0,87.745,719.0,+2% ~ -2%,기,수술실등 네트워크 회선 포설 작업,경찰청,서울
20180703719-00,437753000.0,0.0,86.745,870.0,+2% ~ -2%,,김포공항 기계통합감시제어센타 개선공사,한국공항공사,서울
20180636599-00,40000000.0,0.0,87.745,866.0,+2% ~ -2%,협정,"국회 의원회관 제1,2세미나실 회의용 마이크 설치 공사",국회,서울
20180635876-00,28487000.0,0.0,87.745,1761.0,+2% ~ -2%,기,(통신)서울동부구치소 혈액투석실 리모델링 공사(통신) (긴급공고),법무부,서울/경기
20180633155-00,41901603.0,0.0,87.745,919.0,+2% ~ -2%,,한국의집 보안장비(CCTV)개선공사 시공업체 선정 입찰공고,한국문화재재단,서울
20180630237-00,139098000.0,0.0,87.745,946.0,+2% ~ -2%,기,대진여고 교사동 방송시설 개선공사 (긴급공고),서울특별시교육청,서울
20180603245-00,118690000.0,0.0,87.745,960.0,+2% ~ -2%,,서문여고 방송시설 환경개선 사업,서울특별시교육청,서울
1801812-00,230571000.0,0.0,87.745,883.0,+2% ~ -2%,기,서울지역본부 공공리모델링 임대주택 정보통신공사 3공구,한국토지주택공사,서울
1801810-00,242511000.0,0.0,87.745,877.0,+2% ~ -2%,기,서울지역본부 공공리모델링 임대주택 정보통신공사 2공구,한국토지주택공사,서울
20180619130-00,185145098.0,0.0,87.745,962.0,+2% ~ -2%,,의생명연구원 5층 교수실 및 56병동 재배치 공사 [통신],서울대학교병원,서울
20180616899-00,82636000.0,0.0,87.745,1015.0,+2% ~ -2%,기/협정,경찰병원 병동(71) 통신시설 개선공사,서울지방조달청/경찰청,서울
20180613899-00,91240000.0,0.0,87.745,943.0,+2% ~ -2%,기,서울검찰청사 대강당 리모델링 통신공사,대검찰청,서울
20180612955-00,70000000.0,0.0,87.745,987.0,+2% ~ -2%,,청사 네트워크 회선 증설 공사(긴급) (긴급공고),국가인권위원회,서울
20180606413-00,77464000.0,0.0,87.745,1044.0,+2% ~ -2%,기/협정,서울남부지방검찰청 대회의실 등 리모델링 공사 (통신),서울지방조달청/대검찰청,서울
20180604939-00,61672000.0,0.0,87.745,1008.0,+2% ~ -2%,기/협정,경찰병원 음압격리병실 등 통신시설 개선공사,서울지방조달청/경찰청,서울
20180608059-00,41452390.0,0.0,87.745,950.0,+2% ~ -2%,기,서초2파출소 신축공사(통신),경찰청,서울
20180538320-02,105453000.0,0.0,87.745,960.0,+2% ~ -2%,기/정,"서울아이티고등학교 방송시설 개선공사(본관동,다목적동) (정정공고)",서울특별시교육청,서울
20180607881-00,49500000.0,0.0,87.745,847.0,+2% ~ -2%,,국회 정보망 확충 공사 (긴급공고),국회,서울
20180539332-00,46000000.0,0.0,87.745,991.0,+2% ~ -2%,기,서울적십자병원 진단검사의학과 리모델링공사(통신)-소액수의견적입찰,대한적십자사,서울
20180540926-00,52400000.0,0.0,87.745,205.0,+2% ~ -2%,기/여성,한국시설안전공단 일산청사 환경개선 작업 (통신) (긴급공고),국토안전관리원,서울/인천/경기
